Date;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30;24:00
01/01/2015;73446;71451;71474;71077;70807;68774;67254;65695;64787;64020;64331;64195;64426;64429;64530;64772;64239;64284;64833;65369;65889;66182;66657;66927;67750;68576;66769;65129;63952;62252;61568;61256;61448;62409;65660;68873;70467;71733;72513;72126;71443;70420;69127;68039;68796;71474;70604;70438
02/01/2015;68873;66405;66269;65826;65706;63801;62666;61680;61411;61425;62682;63606;65456;66565;67875;69214;69632;70408;71401;72246;72770;72934;73277;73696;74196;74507;72581;71305;70489;68610;67487;66735;66580;67243;70069;72970;74230;75274;74835;73566;71670;70065;68360;67083;67534;70339;69558;69372
03/01/2015;67591;65046;64728;64021;63596;61475;59984;58797;58236;57938;58571;58959;60038;60587;61598;62475;63444;64203;65545;66602;67265;67572;67964;68388;69129;69787;68038;66634;65828;64151;63022;62349;61866;62085;64059;66306;67396;68307;67883;66524;64791;63172;61713;60401;60984;63750;63238;63165
04/01/2015;61477;58925;58302;57548;56967;54847;53305;52067;51285;50672;51028;51148;51894;52232;52908;53748;54275;54889;56333;57545;58833;59598;60466;61458;62698;63542;61654;59936;59079;57363;56699;56053;56166;56919;59657;63263;65422;67285;67617;67144;65847;64762;63201;61995;62570;65343;64766;64893
05/01/2015;63498;61361;61362;61042;60896;59147;58022;57134;57146;57681;59782;61900;65883;69871;73634;75754;76626;76416;76909;77075;77036;76929;77194;77340;77000;77241;75920;75339;74748;73020;72138;71760;71956;72637;75287;78440;80136;81932;81139;79211;76921;74773;72521;70723;71158;73650;72485;72633
06/01/2015;70850;68235;67942;67495;67443;65618;64454;63505;63554;63830;65867;67821;71886;75744;79288;81343;81937;81729;81853;81730;81415;81318;81572;81650;80888;80915;79510;78879;78455;76680;75781;75342;75379;75865;78290;80885;82426;83729;82684;80580;78277;75758;73372;71340;71497;73816;72787;72527
07/01/2015;70816;68130;67715;67320;66999;65065;64048;62904;63029;63395;65433;67373;71289;74794;78591;80701;81582;81186;81107;80644;80391;79855;80087;80009;79263;79392;77991;76995;76571;74753;73833;73286;73214;73640;75884;78796;80477;81938;81013;79102;76403;74268;72612;70749;70539;73032;71795;71638
08/01/2015;69890;67175;66509;66023;65817;63783;62412;61396;61159;61445;63209;64991;69100;72877;76102;78064;78035;77747;77805;77408;77193;77032;77059;76864;76347;76371;75157;74182;73825;72028;71154;70493;70259;70637;72998;75713;77268;78723;77509;75773;73317;71035;69396;67362;67276;69602;68810;68426
09/01/2015;66521;63891;63434;62770;62579;60656;59634;58634;58541;58684;60379;62250;65970;69476;73064;75000;75109;74504;74515;74245;73945;73927;74144;74051;73331;73281;71813;70785;70398;68837;67661;67000;66554;66706;68331;71001;72106;72928;71808;69985;67885;65737;64238;62407;62506;64767;63848;63401
10/01/2015;61171;58069;57370;56452;55657;53522;52126;50977;50285;50064;50526;51146;52523;53318;54940;56190;57232;57889;59438;59928;60290;60365;60789;61019;61791;62378;60460;59290;58613;57175;56118;55453;55306;55514;57563;60669;62245;63355;63203;61888;60195;59034;57727;56707;57532;60471;60342;60574
11/01/2015;58797;56251;55690;54957;54292;52234;50755;49590;49074;48767;49289;49613;50578;51198;52117;53145;53928;54980;56967;58282;59241;59748;60300;60881;61744;62203;60110;58185;57271;55492;54383;53819;54050;54688;57269;61252;64074;65967;66440;65903;64752;63672;62713;61287;61749;64564;64096;64168
